"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Brandon Belt","Giants","ATL @ SF","1B","4.22",".93",".55",".23",".03",".11",".46",".51",".02",".02",".57",".99","6.30","9.80","7.40","10264"
"Christin Stewart","Tigers","HOU @ DET","OF","4.50",".86",".56",".13",".04",".13",".58",".44",".02",".01",".63","1.24","6.30","9.78","7.35","17714"
"Ryon Healy","Mariners","SD @ SEA","1B","4.12","1.05",".71",".17",".00",".17",".50",".63",".01",".01",".23",".77","6.18","9.68","7.40","15447"
"Jeimer Candelario","Tigers","HOU @ DET","3B","4.61",".98",".61",".23",".04",".10",".56",".40",".01",".01",".54","1.22","6.24","9.68","7.38","13621"
"Alex Verdugo","Dodgers","LAD @ CIN","CF","4.30","1.09",".74",".23",".02",".10",".47",".51",".04",".03",".37",".63","6.17","9.61","7.42","17027"
"Niko Goodrum","Tigers","HOU @ DET","1B","4.19",".91",".58",".18",".04",".11",".47",".50",".10",".06",".41","1.18","6.20","9.65","7.37","12092"
"Yasiel Puig","Dodgers","LAD @ CIN","RF","4.07",".93",".58",".19",".01",".14",".44",".55",".07",".04",".38",".79","6.19","9.65","7.35","14225"
"Ryan McMahon","Rockies","ARI @ COL","1B","3.97","1.02",".61",".22",".04",".15",".45",".53",".04",".03",".27","1.00","6.16","9.59","7.40","15112"
"Josh Bell","Pirates","PIT @ STL","1B","4.51","1.04",".69",".21",".04",".11",".50",".48",".02",".02",".40",".74","6.15","9.56","7.36","13145"
"Phillip Ervin","Reds","LAD @ CIN","DH","4.13",".93",".62",".19",".02",".10",".46",".48",".15",".08",".39",".98","6.16","9.57","7.35","14738"
"Jose Peraza","Reds","LAD @ CIN","SS","4.42","1.19",".90",".19",".03",".05",".51",".34",".17",".09",".23",".53","6.07","9.38","7.52","13593"
"Yonder Alonso","Indians","CLE @ TB","1B","4.38",".86",".54",".17",".00",".15",".48",".57",".01",".01",".54","1.14","6.19","9.67","7.22","2530"
"Scooter Gennett","Reds","LAD @ CIN","2B","4.32","1.13",".79",".20",".02",".12",".49",".50",".03",".02",".26","1.01","6.09","9.48","7.39","10339"
"Scott Schebler","Reds","LAD @ CIN","RF","4.53",".98",".62",".20",".02",".14",".51",".38",".04",".03",".46","1.15","6.15","9.52","7.33","12225"
"Alex Gordon","Royals","CWS @ KC","LF","4.39",".98",".69",".18",".02",".10",".49",".50",".05",".03",".51",".79","6.14","9.56","7.28","5209"
"Marcell Ozuna","Cardinals","PIT @ STL","LF","4.20","1.11",".77",".18",".02",".15",".48",".55",".02",".01",".22",".76","6.06","9.46","7.35","10324"
"Cesar Hernandez","Phillies","","2B","4.56","1.00",".76",".14",".04",".07",".54",".29",".12",".07",".59","1.01","6.13","9.44","7.35","10556"
"Hunter Dozier","Royals","CWS @ KC","1B","4.29",".97",".62",".22",".02",".11",".48",".52",".04",".02",".42","1.11","6.10","9.51","7.24","15117"
"C.J. Cron","Rays","CLE @ TB","DH","4.22",".94",".55",".21",".01",".17",".46",".57",".03",".02",".29","1.15","6.09","9.51","7.23","12546"
"Brett Gardner","Yankees","NYY @ MIN","LF","4.04",".96",".65",".16",".04",".11",".51",".46",".08",".03",".36",".67","6.07","9.45","7.27","9927"
"Ji-Man Choi","Rays","CLE @ TB","1B","4.32",".92",".55",".23",".02",".13",".47",".48",".04",".02",".46","1.23","6.10","9.49","7.20","5452"
"Odubel Herrera","Phillies","","CF","4.04","1.00",".66",".17",".03",".14",".44",".53",".05",".03",".30",".90","6.04","9.42","7.27","11476"
"Franmil Reyes","Padres","SD @ SEA","RF","4.11",".89",".52",".14",".01",".21",".47",".52",".02",".02",".28","1.28","6.01","9.36","7.14","14566"
"Tony Kemp","Astros","HOU @ DET","CF","4.03","1.03",".76",".15",".08",".05",".51",".43",".11",".06",".35",".46","5.96","9.25","7.22","14894"
"Amed Rosario","Mets","MIA @ NYM","SS","4.56","1.12",".81",".19",".04",".07",".48",".36",".13",".07",".26",".79","5.93","9.17","7.29","15518"
"Jurickson Profar","Rangers","TEX @ LAA","SS","4.33",".98",".65",".21",".03",".09",".49",".49",".04",".03",".42",".62","5.99","9.33","7.13","10815"
"Jorge Bonifacio","Royals","CWS @ KC","RF","4.08","1.00",".65",".21",".04",".10",".48",".48",".02",".02",".39",".88","5.98","9.30","7.14","12174"
"Renato Nunez","Orioles","OAK @ BAL","3B","3.94",".89",".51",".17",".01",".19",".47",".52",".02",".01",".32","1.06","5.98","9.32","7.08","14503"
"Jonathan Schoop","Brewers","MIL @ CHC","2B","4.31",".99",".62",".21",".01",".15",".46",".57",".01",".01",".25",".98","5.94","9.29","7.11","11265"
"Mitch Garver","Twins","NYY @ MIN","C","4.18",".97",".63",".23",".01",".11",".48",".50",".02",".01",".42","1.03","5.96","9.29","7.07","15161"
"Logan Forsythe","Twins","NYY @ MIN","2B","4.39",".97",".69",".21",".01",".06",".48",".49",".04",".02",".57","1.00","5.97","9.29","7.04","7185"
"Max Kepler","Twins","NYY @ MIN","RF","4.08",".84",".49",".20",".03",".11",".50",".49",".03",".02",".51",".84","5.99","9.32","7.00","12144"
